"","X","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"1",1,"1/18 Fourth Avenue Eastwood 2122",3,2,2,1366666,"2022-11-18",-33.794867756681,151.085320436901,628.157343314812
"2",2,"7/4-6 Lincoln Street Eastwood 2122",3,2,2,1600000,"2022-06-07",-33.7804611510506,151.095312755134,1611.96274026109
"3",3,"1/12A Darvall Road Eastwood 2122",3,3,2,1950000,"2022-06-01",-33.7910741911228,151.070905910372,1043.83791556203
"4",4,"Townhouse/2 Waratah Street Eastwood 2122",5,3,2,2090000,"2022-03-02",-33.7909957365091,151.09881563629,1551.25163813802
"5",5,"7/17 Woorang Street Eastwood 2122",3,2,1,1515000,"2022-02-03",-33.7892075412856,151.103195432156,1953.18788657492
"6",6,"1/20 Alexandria Avenue Eastwood 2122",4,2,2,1950000,"2021-08-03",-33.7877253274376,151.091130856001,869.870892725081
"7",7,"31 Avondale Way Eastwood 2122",4,2,2,1910000,"2021-07-31",-33.7836122018209,151.072860654012,1104.82863863911
"8",8,"1/13 Corunna Road Eastwood 2122",5,3,2,1880000,"2021-03-09",-33.7834084796642,151.09143050904,1125.78887815406
"9",9,"1/50 Denistone Road Eastwood 2122",3,2,2,1030000,"2020-11-28",-33.7929053436,151.088496423833,679.782902214134
"10",10,"39 Birchgrove Crescent Eastwood 2122",3,2,2,1520000,"2020-10-03",-33.7848041922715,151.071728929445,1114.65531074596
"11",11,"1/19 Alexandria Ave Eastwood 2122",5,3,2,1628000,"2019-12-06",-33.7878713821004,151.090404731729,800.826587199575
"12",12,"1/28 Lincoln Street Eastwood 2122",4,3,2,1545000,"2019-11-22",-33.7815743935209,151.097275880676,1682.37619802924
"13",13,"2/27-29 Munro Street Eastwood 2122",3,2,2,1250000,"2019-10-28",-33.784281622518,151.091780034402,1092.35534954766
"14",14,"109 Vimiera Road Eastwood 2122",5,3,2,1400000,"2019-10-03",-33.7798936542961,151.094150017525,1575.98704901354
"15",15,"109C Vimiera Road Eastwood 2122",5,3,2,1320000,"2019-09-14",-33.7798936542961,151.094150017525,1575.98704901354
"16",16,"3/19 Alexandria Avenue Eastwood 2122",3,2,2,1150000,"2019-04-04",-33.7878713821004,151.090404731729,800.826587199575
"17",17,"1/18 Fourth Avenue Eastwood 2122",3,2,2,1068000,"2018-11-14",-33.794867756681,151.085320436901,628.157343314812
"18",18,"1/45a Terry Road Eastwood 2122",3,1,1,1025000,"2018-08-03",-33.7894787377629,151.070427806615,1080.88135393763
"19",19,"1/69 Tarrants Avenue Eastwood 2122",3,2,2,1060000,"2018-07-28",-33.7980289914636,151.07683602305,1027.62755592768
"20",20,"13 Terry Road Eastwood 2122",4,3,1,1625000,"2018-05-26",-33.7884004897384,151.074373084621,734.097302658651
"21",21,"6/601 Blaxland Ave Eastwood 2122",3,2,2,1545000,"2017-07-27",-33.790178626678,151.08682331214,438.079123735238
"22",22,"1/22 Sheehan Street Eastwood 2122",3,3,2,1450000,"2017-04-11",-33.7895847269285,151.098159668547,1486.18838651796
"23",23,"6/22 Sheehan Street Eastwood 2122",3,3,2,1500000,"2016-12-17",-33.7895847269285,151.098159668547,1486.18838651796
"24",24,"4/29-31 Rutledge Street Eastwood 2122",3,2,1,1100000,"2016-10-13",-33.7939908419708,151.074374258087,847.482673252435
"25",25,"4/15-19 Woorang Street Eastwood 2122",4,2,2,1350000,"2016-05-16",-33.789032820514,151.10309811826,1945.06206484582
"26",26,"7/15-19 Woorang Street Eastwood 2122",3,2,1,1270000,"2016-05-16",-33.789032820514,151.10309811826,1945.06206484582
"27",27,"7/8 Birchgrove Crescent Eastwood 2122",3,2,2,1200000,"2015-11-14",-33.7842568120846,151.07230937624,1102.33117327426
"28",28,"1/575 Blaxland Road Eastwood 2122",3,1,2,952000,"2015-06-15",-33.7915372493637,151.089151637205,677.361493322606
"29",29,"7/9 Cocos Avenue Eastwood 2122",3,2,2,1e+06,"2015-06-06",-33.7827198644088,151.081980835219,799.365071949157
"30",30,"61 Birchgrove Crescent Eastwood 2122",3,2,1,905000,"2014-11-21",-33.7856446037933,151.071898662984,1056.01687684226
"31",31,"4/69 Tarrants Avenue Eastwood 2122",4,2,2,1201000,"2014-10-11",-33.7980289914636,151.07683602305,1027.62755592768
"32",32,"4/36 Balaclava Road Eastwood 2122",3,2,2,920000,"2014-09-12",-33.7852786499007,151.090792562389,954.685770592394
"33",33,"8/8 Lovell Road Eastwood 2122",3,1,1,968000,"2014-08-23",-33.7914953817574,151.090068701231,758.312882347959
"34",34,"10/69 Terry Road Eastwood 2122",4,2,2,950000,"2014-07-22",-33.7898563425009,151.067244946522,1374.33435825837
"35",35,"TH5/8 Birchgrove Crescent Eastwood 2122",3,2,2,1038888,"2014-06-20",-33.7842568120846,151.07230937624,1102.33117327426
"36",36,"2/69-71 Tarrants Avenue Eastwood 2122",4,2,4,8e+05,"2014-05-17",-33.7980289914636,151.07683602305,1027.62755592768
"37",37,"2/69 Tarrants Avenue Eastwood 2122",4,2,4,8e+05,"2014-05-17",-33.7980289914636,151.07683602305,1027.62755592768
"38",38,"3/8 Birchgrove Crescent Eastwood 2122",3,2,2,888888,"2014-01-28",-33.7842568120846,151.07230937624,1102.33117327426
"39",39,"498 Blaxland Road Eastwood 2122",2,2,1,882500,"2013-11-26",-33.7928749877236,151.090064168512,807.803892054298
"40",40,"8/8 Birchgrove Crescent Eastwood 2122",3,2,2,888888,"2013-09-26",-33.7842568120846,151.07230937624,1102.33117327426
"41",41,"4/8 Birchgrove Crescent Eastwood 2122",3,2,2,888888,"2013-09-26",-33.7842568120846,151.07230937624,1102.33117327426
"42",42,"2/8 Birchgrove Crescent Eastwood 2122",3,2,2,888888,"2013-09-26",-33.7842568120846,151.07230937624,1102.33117327426
"43",43,"6/7 Corunna Road Eastwood 2122",2,NA,NA,565000,"2013-05-01",-33.7837610225118,151.092378167013,1171.01609201398
"44",44,"4/9 Cocos Avenue Eastwood 2122",3,2,2,780000,"2013-04-09",-33.7827198644088,151.081980835219,799.365071949157
"45",45,"5/11 Clanalpine Street Eastwood 2122",2,1,1,680000,"2013-04-01",-33.7934871314994,151.080783145074,417.488262160876
"46",46,"3/143 Balaclava Road Eastwood 2122",3,2,2,788000,"2012-11-12",-33.7867778371027,151.085976823739,499.442667981532
"47",47,"19B Gordon Street Eastwood 2122",3,2,1,725000,"2012-11-01",-33.7886594905465,151.089241575026,674.989348037286
"48",48,"1/21 Second Avenue Eastwood 2122",2,1,1,455000,"2012-11-01",-33.7931036594292,151.08607799331,512.467952458331
"49",49,"4/36 Balaclava Road Eastwood 2122",3,2,2,688000,"2012-09-29",-33.7852786499007,151.090792562389,954.685770592394
"50",50,"7/49 Terry Road Eastwood 2122",4,2,2,750000,"2012-09-01",-33.7895045121152,151.069763876065,1142.13639760224
"51",51,"2/14 Eric Street Eastwood 2122",3,2,2,635000,"2012-07-01",-33.7936686835222,151.069314689873,1255.01258018766
"52",52,"11/36 Lovell Road Eastwood 2122",2,1,NA,510000,"2012-06-01",-33.7910111173014,151.09345708559,1057.95701967183
"53",53,"2/41 Balaclava Road Eastwood 2122",3,2,2,676500,"2012-06-01",-33.7857505510495,151.090914267623,937.213423672063
"54",54,"3/23 Vimiera Road Eastwood 2122",4,2,2,825000,"2012-05-18",-33.7846799724664,151.086604879744,715.105612305702
"55",55,"1/167 North Road Eastwood 2122",3,2,2,820000,"2012-05-18",-33.7904403096952,151.101387455641,1785.39990726345
"56",56,"2/167 North Road Eastwood 2122",2,2,2,1120000,"2012-04-01",-33.7904403096952,151.101387455641,1785.39990726345
"57",57,"1/9 Threlfall Street Eastwood 2122",3,2,2,665000,"2012-03-01",-33.7849213712779,151.096248678442,1421.5035359168
"58",58,"16/10 Ethel Street Eastwood 2122",2,1,1,545000,"2012-03-01",-33.7896669114892,151.083664591929,147.056711084311
"59",59,"17 Avondale Way Eastwood 2122",3,2,2,903888,"2012-03-01",-33.7838952167816,151.073330375866,1051.24855227919
"60",60,"4/4 Rutledge Street Eastwood 2122",2,1,NA,548000,"2012-02-01",-33.7931176572075,151.081072236915,370.593148938349
"61",61,"3/12 Woorang Street Eastwood 2122",3,2,3,765000,"2012-01-01",-33.7889775418625,151.102196309297,1862.06740526319
"62",62,"7/18 Wentworth Road Eastwood 2122",3,1,2,7e+05,"2012-01-01",-33.7974329543288,151.075062831433,1061.61078176494
"63",63,"3/167 North Road Eastwood 2122",3,2,2,750000,"2011-12-01",-33.7904403096952,151.101387455641,1785.39990726345
"64",64,"7/36 Lovell Road Eastwood 2122",3,1,1,1123000,"2011-12-01",-33.7910111173014,151.09345708559,1057.95701967183
"65",65,"1/12 Woorang Street Eastwood 2122",4,2,2,899000,"2011-10-04",-33.7889775418625,151.102196309297,1862.06740526319
"66",66,"15/36 Balaclava Road Eastwood 2122",3,2,2,692000,"2011-09-16",-33.7851247162489,151.090541524389,944.739670001362
"67",67,"1/11 Trelawney Street Eastwood 2122",2,2,1,1180000,"2011-09-01",-33.7939012813353,151.079963394944,487.309867687424
"68",68,"2/15A Trelawney Street Eastwood 2122",3,2,2,6e+05,"2011-09-01",-33.7951046711742,151.080241841767,604.345575074273
"69",69,"8/9-11 Threlfall Street Eastwood 2122",3,2,1,605000,"2011-09-01",-33.7849213712779,151.096248678442,1421.5035359168
"70",70,"1/4-6 Lincoln Street Eastwood 2122",3,2,2,865000,"2011-08-23",-33.7804611510506,151.095312755134,1611.96274026109
