"","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"1","4/53 Kirkham Road Auburn 2144",4,2,2,850000,2023-02-28,-33.87161552155,151.01782868198,2877.32788990104
"2","7/55-57 Susan Street Auburn 2144",4,3,2,880000,2023-02-24,-33.8570242206832,151.032492234852,894.047243702101
"3","7/53 Kirkham Road Auburn 2144",4,2,2,788880,2022-12-15,-33.87161552155,151.01782868198,2877.32788990104
"4","11/17-21 Kirkham Road Auburn 2144",3,1,2,710000,2022-11-28,-33.8720158412457,151.020772993109,2796.62026797535
"5","4/27 Louisa Street Auburn 2144",3,2,2,811118,2022-11-16,-33.8572866999811,151.035094145236,944.509581324489
"6","19/17-21 Kirkham Road Auburn 2144",2,1,1,575000,2022-11-11,-33.8720158412457,151.020772993109,2796.62026797535
"7","34/18 Cockthorpe Road Auburn 2144",3,2,2,770000,2022-11-03,-33.8604458811974,151.036149678303,1309.08692780715
"8","1/53 Kirkham Road Auburn 2144",3,2,1,740000,2022-10-31,-33.87161552155,151.01782868198,2877.32788990104
"9","2/42 Helena Street Auburn 2144",3,2,1,865000,2022-10-29,-33.8576023624547,151.032826840427,957.634491947842
"10","44 Princeton Cct Auburn 2144",3,2,2,7e+05,2022-10-04,-33.8736835047014,151.017071125571,3113.05334955736
"11","3/5 New Street Auburn 2144",2,1,1,610000,2022-09-29,-33.864862096433,151.023547319241,1966.06938721746
"12","4/7 Kennington Oval Auburn 2144",3,2,2,691000,2022-09-19,-33.8724478026258,151.021767170644,2805.74323397359
"13","3/3 St Johns Avenue Auburn 2144",3,2,2,8e+05,2022-09-13,-33.8719751890153,151.023717723332,2694.75702399304
"14","21/277 Park Road Auburn 2144",3,1,1,6e+05,2022-08-29,-33.8706394489252,151.025656876632,2500.21326241141
"15","8/17 Kirkham Road Auburn 2144",3,2,2,678000,2022-07-29,-33.8720158412457,151.020772993109,2796.62026797535
"16","3/30-32 St Johns Road Auburn 2144",3,2,2,790000,2022-07-27,-33.8714475063008,151.020110990396,2764.38955490545
"17","1/277 Park Road Auburn 2144",3,1,1,570000,2022-07-25,-33.8706394489252,151.025656876632,2500.21326241141
"18","2/10-12 Hevington Road Auburn 2144",3,2,1,8e+05,2022-06-24,-33.8585786865366,151.034586118085,1077.62760884278
"19","4/45-47 Marion Street Auburn 2144",4,3,2,820000,2022-06-21,-33.856482749738,151.033953284395,838.648007577693
"20","3 Castle Street Auburn 2144",3,2,1,830000,2022-05-27,-33.8734620967291,151.01988811559,2976.91865463762
