"","X","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"48",48,"16/100 Kenyons Road Merrylands 2160",3,2,2,6e+05,"2020-12-11",-33.8375828991819,150.969087998834,2178.71857144898
"49",49,"2/73 Woodpark Road Merrylands 2160",5,3,2,698007,"2020-12-09",-33.8397648762165,150.958369388691,3188.50219678253
"50",50,"4/58 St Ann Street Merrylands 2160",2,2,1,530000,"2020-11-24",-33.8396576716749,150.983845931936,891.565951492629
"51",51,"4/7-9 Charlotte St Merrylands 2160",3,2,2,670000,"2020-10-30",-33.8434425619633,150.979013764755,1486.68995122366
"52",52,"32/100 Kenyons Road Merrylands 2160",3,2,2,570000,"2020-10-09",-33.8381266332409,150.969215319943,2171.79345659471
"53",53,"27/10-14 Arthur Street Merrylands 2160",2,1,1,520000,"2020-10-01",-33.833786022772,150.969996345681,2108.74176833053
"54",54,"3/102-104 Lackey Street Merrylands 2160",3,2,2,620000,"2020-09-14",-33.8464343984828,151.001734338236,1409.2621412319
"55",55,"5/58-60 St Ann Street Merrylands 2160",2,2,1,530000,"2020-09-10",-33.8396576716749,150.983845931936,891.565951492629
"56",56,"7/158-160 Railway Terrace Merrylands 2160",3,2,2,660000,"2020-09-10",-33.843564392926,150.991828353606,811.809869752728
"57",57,"2/22-24 Park Street Merrylands 2160",3,2,2,640100,"2020-09-04",-33.8452684338415,150.99989266647,1204.73467202766
"58",58,"4/11-13 Lansdowne Street Merrylands 2160",2,2,2,570000,"2020-07-20",-33.8459446438802,150.996230277697,1124.88283876773
"59",59,"5/21 St Ann Street Merrylands 2160",2,2,1,550000,"2020-07-03",-33.8397168479113,150.987621308764,597.156095735195
"60",60,"17/59-61 Neil Street Merrylands 2160",2,1,1,425000,"2020-06-27",-33.8325814175571,150.988503001159,561.136738245937
"61",61,"2/91 Sherwood Road Merrylands 2160",2,1,1,455000,"2020-06-19",-33.8388760592038,150.966988164451,2385.47511425372
"62",62,"5/36-38 Manchester Street Merrylands 2160",3,1,1,525000,"2020-06-17",-33.8315534609517,150.989177576727,615.904140585464
"63",63,"4/102 Lackey Street Merrylands 2160",3,2,2,601000,"2020-06-10",-33.846429620798,151.001681951341,1405.93810524632
"64",64,"9/59 Lavinia Street Merrylands 2160",3,3,2,595000,"2020-05-15",-33.8484638667891,151.003853953911,1707.69437954345
"65",65,"3/158-160 Railway Terrace Merrylands 2160",3,2,2,660000,"2020-03-27",-33.843564392926,150.991828353606,811.809869752728
"66",66,"6/49 Edna Avenue Merrylands 2160",3,1,1,650000,"2020-03-13",-33.8411161228275,150.971671049936,2008.04517468791
"67",67,"43/100 Kenyons Rd Merrylands 2160",3,2,2,615000,"2020-03-11",-33.8372683263557,150.970070525524,2085.97466897667
"68",68,"4/17-21 Paton Street Merrylands 2160",2,1,1,442275,"2020-03-10",-33.8351409155108,150.969513128963,2138.64972192027
"69",69,"8/6-8 Addlestone Road Merrylands 2160",3,1,1,646500,"2019-12-20",-33.836850614211,150.98742341203,482.562884065052
"70",70,"25/58 Lansdowne Street Merrylands 2160",3,2,2,675000,"2019-12-19",-33.8460709591611,150.992151643612,1088.48789563065
"71",71,"5/58 Lansdowne Street Merrylands 2160",2,2,2,585000,"2019-12-13",-33.8459767465694,150.991649986707,1080.7858548347
"72",72,"11/17 Willara Avenue Merrylands 2160",3,2,2,580000,"2019-12-13",-33.8282647793313,150.981310992959,1374.70031043666
"73",73,"1/16 Richardson Street Merrylands 2160",2,1,2,595000,"2019-10-08",-33.8278398587498,150.978643033178,1597.6859752711
"74",74,"7/6 Charlotte Street Merrylands 2160",3,3,3,690000,"2019-09-16",-33.8440204522777,150.979013010384,1522.11993638375
"75",75,"23/58 Lansdowne Street Merrylands 2160",3,2,2,650000,"2019-07-01",-33.8459624554245,150.992173520379,1076.34217530817
"76",76,"2/1-3 Holdsworth Street Merrylands 2160",3,2,1,635000,"2019-06-19",-33.8348889974108,150.97794515592,1364.15191949165
"77",77,"3/9-11 Derby street Merrylands 2160",3,2,1,710000,"2019-05-09",-33.8438290515187,151.001355979127,1165.28919814812
"78",78,"3/36-38 Manchester Street Merrylands 2160",3,1,1,480000,"2019-03-15",-33.8315534609517,150.989177576727,615.904140585464
"79",79,"1/9-11 Kimberley Street Merrylands 2160",2,2,1,585000,"2019-02-08",-33.8478275965191,151.000340008643,1469.30428610162
"80",80,"2/6 Charlotte Street Merrylands 2160",2,2,1,590000,"2019-01-30",-33.8440204522777,150.979013010384,1522.11993638375
"81",81,"3/17 Lansdowne Street Merrylands 2160",2,1,2,5e+05,"2019-01-21",-33.8456667418804,150.995896594131,1086.33837717489
"82",82,"10/10-12 Wright Street Merrylands 2160",3,2,1,7e+05,"2018-11-26",-33.8277686963918,150.975646418974,1832.9248704492
"83",83,"45 Richardson Street Merrylands 2160",3,3,1,645000,"2018-10-23",-33.8263771328267,150.980964820357,1541.99668570278
"84",84,"6/21-23 Yeend Street Merrylands 2160",3,1,1,6e+05,"2018-07-04",-33.8258688123086,150.987256025424,1261.97078028883
"85",85,"7/35-37 Clarence Street Merrylands 2160",2,1,1,533333,"2018-06-15",-33.8310719625238,150.983258360523,1041.56817999732
"86",86,"1/92 Burnett Street Merrylands 2160",3,2,NA,750000,"2018-06-01",-33.8271703123241,150.981102702665,1470.78219769158
"87",87,"92 Burnett Street Merrylands 2160",2,2,2,650000,"2018-06-01",-33.8271703123241,150.981102702665,1470.78219769158
"88",88,"7/16 Rickard Street Merrylands 2160",2,1,1,645000,"2018-05-26",-33.8275629625784,150.990405357904,993.549196204967
"89",89,"25/100 Kenyons Road Merrylands 2160",3,2,2,612500,"2018-04-16",-33.8379360287627,150.969172488418,2173.85855219559
