"","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station.km.","distance_class"
"15","12/23 Elizabeth Street Granville 2142",3,2,2,770000,2022-04-02,-33.8379177562138,151.008671117485,0.667214910274387,"(0.5,0.75]"
"16","1/27-29 John Street Granville 2142",3,2,2,770000,2022-03-19,-33.8390696811672,151.008429048121,0.792285885509715,"(0.75,1]"
"17","14/104-110 Elizabeth Street Granville 2142",3,2,2,686000,2022-02-04,-33.8375569991011,151.001992333216,1.07741268283089,"(1,1.25]"
"18","14/104-110 Elizabeth Street Granville 2142",3,2,2,686000,2022-02-04,-33.8375569991011,151.001992333216,1.07741268283089,"(1,1.25]"
"19","11/33 Louis Street Granville 2142",4,2,2,825000,2022-01-31,-33.8404094026612,151.007813984066,0.951612416435905,"(0.75,1]"
"20","3/166-168 The Trongate Granville 2142",3,2,2,710000,2022-01-27,-33.8451853691811,151.01104260935,1.40379079352384,"(1.25,1.5]"
"21","4/39-47 Wellington Road Granville 2142",2,2,1,590000,2021-10-29,-33.8647576160099,151.0245913691,3.76428945963307,"(3.75,4]"
"22","1/35-37 Wellington Road Granville 2142",3,2,2,664000,2021-10-23,-33.8647576160099,151.0245913691,3.76428945963307,"(3.75,4]"
"23","7/9 Gray Street Granville 2142",3,2,2,685000,2021-10-09,-33.8295241183739,151.01431314415,0.403725692797222,"(0.25,0.5]"
"24","5/43 Crown Street Granville 2142",2,1,1,535000,2021-10-01,-33.8256963546508,150.995455873662,1.71206568244794,"(1.5,1.75]"
"25","9/63-65 Victoria St. Granville 2142",5,3,2,850000,2021-09-26,-33.8278436306062,151.008964567915,0.599277824058061,"(0.5,0.75]"
"26","9/39-47 Wellington Road Granville 2142",2,2,1,550000,2021-09-03,-33.8647576160099,151.0245913691,3.76428945963307,"(3.75,4]"
"27","5/19-21 Lavinia Street Granville 2142",3,2,1,750000,2021-08-23,-33.8489842991573,151.007646848917,1.8677751006284,"(1.75,2]"
"28","14/26-30 Elizabeth Street Granville 2142",3,2,1,705000,2021-07-09,-33.8385179004811,151.007815576628,0.76399851043261,"(0.75,1]"
"29","11/63-65 Victoria Street Granville 2142",3,2,2,685000,2021-07-08,-33.8278436306062,151.008964567915,0.599277824058061,"(0.5,0.75]"
"30","5/27-29 John Street Granville 2142",3,2,3,734000,2021-07-03,-33.8390696811672,151.008429048121,0.792285885509715,"(0.75,1]"
