"","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station.km.","distance_class"
"43","1/46-48 Morton Street Parramatta 2150",3,2,1,760000,2019-06-20,-33.8092705066359,151.01843989036,1.54416370981398,"(1.5,1.75]"
"44","8/12-16 Glebe Street Parramatta 2150",2,1,2,625000,2018-10-27,-33.8205409812837,150.996941733638,0.818542670895595,"(0.75,1]"
"45","1/19-21 Grandview Street Parramatta 2150",4,2,2,906000,2018-09-01,-33.8092383201277,151.019041878646,1.59139629569033,"(1.5,1.75]"
"46","6/43 Pemberton Street Parramatta 2150",3,2,2,845000,2018-06-22,-33.80899486775,151.020537964544,1.72095909547467,"(1.5,1.75]"
"47","4/6-10 Glebe Street Parramatta 2150",2,1,1,595000,2018-04-10,-33.8202504226101,150.99662565207,0.832819266501264,"(0.75,1]"
"48","2/14 Pemberton Street Parramatta 2150",4,2,2,868000,2017-12-18,-33.8134046289201,151.020165472766,1.47485503449574,"(1.25,1.5]"
"49","6/46 Morton Street Parramatta 2150",4,2,2,970000,2017-12-06,-33.8092705066359,151.01843989036,1.54416370981398,"(1.5,1.75]"
"50","7/11-13 Tennyson Street Parramatta 2150",3,2,2,780000,2017-10-20,-33.8121977605914,151.021100893161,1.60186042115702,"(1.5,1.75]"
"51","3/55 Rosehill Street Parramatta 2150",3,2,1,970000,2017-08-03,-33.8245228462967,151.001218013,0.856455285375594,"(0.75,1]"
"52","11/9-11 New Zealand St Parramatta 2150",3,1,2,857000,2017-06-10,-33.8143560587495,151.014512968722,0.94688448547104,"(0.75,1]"
"53","3/6 Glebe Street Parramatta 2150",2,1,1,7e+05,2017-05-27,-33.8202504226101,150.99662565207,0.832819266501264,"(0.75,1]"
"54","6/16-20 Grandview Street Parramatta 2150",3,2,2,896000,2017-04-04,-33.8095587602861,151.019760962119,1.62645992147814,"(1.5,1.75]"
"55","6/66 Marsden Street Parramatta 2150",4,1,2,851000,2017-03-11,-33.8218246278455,150.999058918561,0.730519223591541,"(0.5,0.75]"
"56","6/19 King Street Parramatta 2150",2,1,1,680000,2017-02-18,-33.8204193179591,150.998226511757,0.705718443580224,"(0.5,0.75]"
"57","8/47-49 Gladstone Street Parramatta 2150",4,2,2,780000,2017-01-17,-33.8021605153578,151.014487403917,1.91986964394402,"(1.75,2]"
"58","9/11-13 Tennyson Street Parramatta 2150",2,1,1,756000,2017-01-14,-33.8121977605914,151.021100893161,1.60186042115702,"(1.5,1.75]"
"59","3/19 King Street Parramatta 2150",2,1,1,705000,2016-12-10,-33.8202039030475,150.998223075177,0.69528917180306,"(0.5,0.75]"
"60","6/3 Irving Street Parramatta 2150",3,2,2,860000,2016-11-04,-33.8109924848243,151.021438348583,1.6841339044921,"(1.5,1.75]"
"61","4/46-48 Morton Street Parramatta 2150",4,2,2,945000,2016-10-21,-33.8092705066359,151.01843989036,1.54416370981398,"(1.5,1.75]"
"62","14/44 Thomas Street Parramatta 2150",3,2,2,850000,2016-05-11,-33.8111281878367,151.013259958016,1.04247187124311,"(1,1.25]"
"63","7/50 Morton Street Parramatta 2150",3,2,2,815000,2016-04-18,-33.8088703964878,151.018493366902,1.57491592989847,"(1.5,1.75]"
"64","4/3-5 Irving St Parramatta 2150",3,2,2,773500,2016-03-31,-33.8109924848243,151.021438348583,1.6841339044921,"(1.5,1.75]"
"65","2/19-21 Grandview Street Parramatta 2150",4,2,2,9e+05,2016-02-27,-33.8092383201277,151.019041878646,1.59139629569033,"(1.5,1.75]"
"66","7/75 Victoria Road Parramatta 2150",2,1,1,510000,2016-02-20,-33.8093028188726,151.013811403426,1.22345494855945,"(1,1.25]"
"67","4/16-20 Grandview Street Parramatta 2150",3,2,2,820000,2015-10-20,-33.8095587602861,151.019760962119,1.62645992147814,"(1.5,1.75]"
"68","8/64-66 Hassall Street Parramatta 2150",2,1,1,565000,2015-09-10,-33.8181919948283,151.015728009406,0.995170927495807,"(0.75,1]"
"69","2/149-151 Pennant Street Parramatta 2150",3,2,1,8e+05,2015-08-07,-33.806095274075,151.021713610283,2.00038362159291,"(2,2.25]"
"70","1/35 Victoria Road Parramatta 2150",3,1,1,720000,2015-07-24,-33.8093768310777,151.010170723782,1.02294368277426,"(1,1.25]"
"71","1/77 Thomas Street Parramatta 2150",4,2,2,1080000,2015-06-23,-33.8130525889867,151.020433358392,1.51082458328789,"(1.5,1.75]"
"72","E6/88 Marsden Street Parramatta 2150",3,2,2,775500,2015-06-18,-33.8202814356518,150.998827578034,0.649416635969715,"(0.5,0.75]"
"73","5/12-14 Grandview Street Parramatta 2150",3,2,2,760000,2015-04-09,-33.8098741293931,151.019675299069,1.60092379393062,"(1.5,1.75]"
"74","4/143-145 Victoria Road Parramatta 2150",3,2,2,772000,2015-04-07,-33.8090444886168,151.019949554941,1.67266547809345,"(1.5,1.75]"
"75","7/145-147 Pennant Street Parramatta 2150",3,2,2,705000,2015-03-03,-33.8065808377259,151.02188870824,1.97927486477097,"(1.75,2]"
"76","5/11 Grandview Street Parramatta 2150",3,1,1,691000,2015-02-25,-33.809873961755,151.018868121793,1.53814785993809,"(1.5,1.75]"
"77","1/9 New Zealand Street Parramatta 2150",2,1,1,670000,2015-02-23,-33.8138639153046,151.014654622886,0.980392407911776,"(0.75,1]"
"78","8/43 Pemberton Street Parramatta 2150",3,2,2,715000,2015-01-17,-33.8089697220405,151.020377954012,1.71017285933134,"(1.5,1.75]"
"79","8/44-50 Thomas Street Parramatta 2150",3,2,1,680000,2014-12-13,-33.8111281878367,151.013259958016,1.04247187124311,"(1,1.25]"
"80","2/51 Ross Street Parramatta 2150",3,1,2,745000,2014-12-02,-33.8070104940827,151.002642182169,1.18787614854974,"(1,1.25]"
"81","3/11 Grandview Street Parramatta 2150",3,1,1,650000,2014-11-21,-33.809873961755,151.018868121793,1.53814785993809,"(1.5,1.75]"
"82","9/77 Thomas Street Parramatta 2150",4,2,2,945000,2014-10-29,-33.813248641702,151.020384743354,1.499545525601,"(1.25,1.5]"
"83","1/44 Hassall Street Parramatta 2150",4,3,2,1e+06,2014-10-04,-33.817893012342,151.013574447023,0.794219101178577,"(0.75,1]"
"84","1/81-83 Thomas Street Parramatta 2150",3,2,2,691000,2014-08-30,-33.8132067321861,151.020732424697,1.53154188964627,"(1.5,1.75]"
"85","3/15-17 Grandview Street Parramatta 2150",3,3,2,747000,2014-08-28,-33.8094915793322,151.018966525336,1.56952885118375,"(1.5,1.75]"
"86","2/5 Purchase Street Parramatta 2150",2,1,1,497500,2014-06-12,-33.8179694133894,151.014529816347,0.882918428035366,"(0.75,1]"
"87","16/9 New Zealand Street Parramatta 2150",3,2,2,630000,2014-06-11,-33.8146289735169,151.01447156212,0.932481219810814,"(0.75,1]"
"88","4/14 Pemberton Street Parramatta 2150",3,2,2,595000,2014-05-30,-33.8134046289201,151.020165472766,1.47485503449574,"(1.25,1.5]"
"89","5/62 Hassall Street Parramatta 2150",2,1,1,561000,2014-05-12,-33.8181585091251,151.015458195943,0.970005262143449,"(0.75,1]"
