"","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station.km.","distance_class"
"44","2/57 MARY ST Auburn 2144",2,1,2,6e+05,2022-01-12,-33.8505286229078,151.023119339264,0.920103597070674,"(0.75,1]"
"45","1/80 Harrow Rd Auburn 2144",3,2,2,7e+05,2021-12-24,-33.8583988947134,151.03039659142,1.07157029345613,"(1,1.25]"
"46","2/273 Park Road Auburn 2144",3,2,1,640000,2021-12-22,-33.8703318330787,151.025674562448,2.46679457924359,"(2.25,2.5]"
"47","2/21 Hargrave Road Auburn 2144",3,1,1,620000,2021-12-10,-33.8600562903378,151.032106751125,1.23296332852798,"(1,1.25]"
"48","2/53 Kirkham Road Auburn 2144",3,2,1,710500,2021-12-04,-33.87161552155,151.01782868198,2.87732788990104,"(2.5,3]"
"49","1/17-21 Kirkham Road Auburn 2144",3,2,1,711000,2021-11-23,-33.8720158412457,151.020772993109,2.79662026797535,"(2.5,3]"
"50","12A/114-120 Auburn Road Auburn 2144",3,2,1,705000,2021-11-22,-33.8578299311259,151.031899131384,0.987288762362853,"(0.75,1]"
"51","27 Cockthorpe Road Auburn 2144",4,4,2,990000,2021-11-17,-33.8602434582358,151.036894075124,1.3049433823572,"(1.25,1.5]"
"52","4/28 Elsham Road Auburn 2144",4,2,2,9e+05,2021-11-06,-33.8605695980883,151.035382566524,1.30821011698892,"(1.25,1.5]"
"53","4/118 Harrow Road Auburn 2144",3,3,2,795000,2021-11-05,-33.860749683278,151.030010018046,1.33497555179002,"(1.25,1.5]"
"54","3/277 Park Road Auburn 2144",3,1,1,590000,2021-10-23,-33.8706394489252,151.025656876632,2.50021326241141,"(2.5,3]"
"55","2 Holly Way Auburn 2144",2,1,1,518000,2021-10-21,-33.8738286373549,151.0196344792,3.0237189930805,"(3,3.25]"
"56","5/27 Louisa Street Auburn 2144",3,2,2,750000,2021-10-20,-33.8572866999811,151.035094145236,0.944509581324489,"(0.75,1]"
"57","4/40 St Johns Road Auburn 2144",3,2,2,768000,2021-10-19,-33.8713198499155,151.019171714326,2.789958153938,"(2.5,3]"
"58","6/1-3 Kennington Oval Auburn 2144",3,2,1,710300,2021-10-11,-33.8719987421632,151.021853839523,2.75632197280563,"(2.5,3]"
"59","7 Kirkham Road Auburn 2144",3,2,2,828000,2021-10-02,-33.8728033629585,151.021678071014,2.84559388157527,"(2.5,3]"
"60","3/39-41 Karrabah Road Auburn 2144",3,2,2,670000,2021-07-30,-33.8438658061642,151.032136003967,0.575884112437091,"(0.5,0.75]"
"61","4/13 St Johns Road Auburn 2144",4,3,2,898000,2021-07-30,-33.8712719473388,151.023935652815,2.61411894785623,"(2.5,3]"
"62","3/56 Susan Street Auburn 2144",3,2,1,725000,2021-07-22,-33.8568291318867,151.033317936134,0.872390992177545,"(0.75,1]"
"63","15 Castle Street Auburn 2144",3,2,1,788000,2021-07-08,-33.8738499692985,151.019828687897,3.0186591381455,"(3,3.25]"
"64","13 Castle Street Auburn 2144",3,2,2,815000,2021-06-10,-33.8738059223973,151.019833381763,3.01399265039833,"(3,3.25]"
"65","14/1-3 Kennington Oval Auburn 2144",3,2,1,715000,2021-06-08,-33.8719987421632,151.021853839523,2.75632197280563,"(2.5,3]"
"66","3/128 Auburn Road Auburn 2144",3,1,1,675000,2021-06-05,-33.8588216779096,151.031846409213,1.0976740898354,"(1,1.25]"
