"","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station.km.","distance_class"
"43","5/49 Edna Avenue Merrylands 2160",3,1,1,636000,2021-04-20,-33.8411161228275,150.971671049936,2.00804517468791,"(2,2.25]"
"44","24/58 Lansdowne Street Merrylands 2160",3,2,2,720599,2021-04-13,-33.8460224279417,150.992161115162,1.08305619907634,"(1,1.25]"
"45","1/6-8 Addlestone Road Merrylands 2160",3,1,1,7e+05,2021-04-09,-33.836850614211,150.98742341203,0.482562884065052,"(0.25,0.5]"
"46","9/17-19 Soudan Street Merrylands 2160",2,1,1,660000,2021-01-19,-33.8358548022042,150.997392344753,0.445890507921819,"(0.25,0.5]"
"47","14/58-60 St Ann Street Merrylands 2160",2,1,1,520000,2020-12-18,-33.8396576716749,150.983845931936,0.891565951492629,"(0.75,1]"
"48","1/35 Lansdowne Street Merrylands 2160",3,2,2,710000,2020-12-15,-33.8455509458881,150.994327082762,1.04211792315145,"(1,1.25]"
"49","16/100 Kenyons Road Merrylands 2160",3,2,2,6e+05,2020-12-11,-33.8375828991819,150.969087998834,2.17871857144898,"(2,2.25]"
"50","2/73 Woodpark Road Merrylands 2160",5,3,2,698007,2020-12-09,-33.8397648762165,150.958369388691,3.18850219678253,"(3,3.25]"
"51","4/58 St Ann Street Merrylands 2160",2,2,1,530000,2020-11-24,-33.8396576716749,150.983845931936,0.891565951492629,"(0.75,1]"
"52","4/7-9 Charlotte St Merrylands 2160",3,2,2,670000,2020-10-30,-33.8434425619633,150.979013764755,1.48668995122366,"(1.25,1.5]"
"53","32/100 Kenyons Road Merrylands 2160",3,2,2,570000,2020-10-09,-33.8381266332409,150.969215319943,2.17179345659471,"(2,2.25]"
"54","27/10-14 Arthur Street Merrylands 2160",2,1,1,520000,2020-10-01,-33.833786022772,150.969996345681,2.10874176833053,"(2,2.25]"
"55","3/102-104 Lackey Street Merrylands 2160",3,2,2,620000,2020-09-14,-33.8464343984828,151.001734338236,1.4092621412319,"(1.25,1.5]"
"56","5/58-60 St Ann Street Merrylands 2160",2,2,1,530000,2020-09-10,-33.8396576716749,150.983845931936,0.891565951492629,"(0.75,1]"
"57","7/158-160 Railway Terrace Merrylands 2160",3,2,2,660000,2020-09-10,-33.843564392926,150.991828353606,0.811809869752728,"(0.75,1]"
"58","2/22-24 Park Street Merrylands 2160",3,2,2,640100,2020-09-04,-33.8452684338415,150.99989266647,1.20473467202766,"(1,1.25]"
"59","4/11-13 Lansdowne Street Merrylands 2160",2,2,2,570000,2020-07-20,-33.8459446438802,150.996230277697,1.12488283876773,"(1,1.25]"
"60","5/21 St Ann Street Merrylands 2160",2,2,1,550000,2020-07-03,-33.8397168479113,150.987621308764,0.597156095735195,"(0.5,0.75]"
"61","17/59-61 Neil Street Merrylands 2160",2,1,1,425000,2020-06-27,-33.8325814175571,150.988503001159,0.561136738245937,"(0.5,0.75]"
"62","2/91 Sherwood Road Merrylands 2160",2,1,1,455000,2020-06-19,-33.8328787053943,150.96924367389,2.19302237411026,"(2,2.25]"
"63","5/36-38 Manchester Street Merrylands 2160",3,1,1,525000,2020-06-17,-33.8315534609517,150.989177576727,0.615904140585463,"(0.5,0.75]"
"64","4/102 Lackey Street Merrylands 2160",3,2,2,601000,2020-06-10,-33.846429620798,151.001681951341,1.40593810524632,"(1.25,1.5]"
"65","9/59 Lavinia Street Merrylands 2160",3,3,2,595000,2020-05-15,-33.8484638667891,151.003853953911,1.70769437954345,"(1.5,1.75]"
"66","3/158-160 Railway Terrace Merrylands 2160",3,2,2,660000,2020-03-27,-33.843564392926,150.991828353606,0.811809869752728,"(0.75,1]"
"67","6/49 Edna Avenue Merrylands 2160",3,1,1,650000,2020-03-13,-33.8411161228275,150.971671049936,2.00804517468791,"(2,2.25]"
"68","43/100 Kenyons Rd Merrylands 2160",3,2,2,615000,2020-03-11,-33.8372683263557,150.970070525524,2.08597466897667,"(2,2.25]"
"69","4/17-21 Paton Street Merrylands 2160",2,1,1,442275,2020-03-10,-33.8351409155108,150.969513128963,2.13864972192027,"(2,2.25]"
"70","8/6-8 Addlestone Road Merrylands 2160",3,1,1,646500,2019-12-20,-33.836850614211,150.98742341203,0.482562884065052,"(0.25,0.5]"
"71","25/58 Lansdowne Street Merrylands 2160",3,2,2,675000,2019-12-19,-33.8460709591611,150.992151643612,1.08848789563065,"(1,1.25]"
"72","5/58 Lansdowne Street Merrylands 2160",2,2,2,585000,2019-12-13,-33.8459767465694,150.991649986707,1.0807858548347,"(1,1.25]"
"73","11/17 Willara Avenue Merrylands 2160",3,2,2,580000,2019-12-13,-33.8282647793313,150.981310992959,1.37470031043666,"(1.25,1.5]"
"74","1/16 Richardson Street Merrylands 2160",2,1,2,595000,2019-10-08,-33.8278398587498,150.978643033178,1.5976859752711,"(1.5,1.75]"
"75","7/6 Charlotte Street Merrylands 2160",3,3,3,690000,2019-09-16,-33.8440204522777,150.979013010384,1.52211993638375,"(1.5,1.75]"
"76","23/58 Lansdowne Street Merrylands 2160",3,2,2,650000,2019-07-01,-33.8459624554245,150.992173520379,1.07634217530817,"(1,1.25]"
"77","2/1-3 Holdsworth Street Merrylands 2160",3,2,1,635000,2019-06-19,-33.8348889974108,150.97794515592,1.36415191949165,"(1.25,1.5]"
"78","3/9-11 Derby street Merrylands 2160",3,2,1,710000,2019-05-09,-33.8438290515187,151.001355979127,1.16528919814812,"(1,1.25]"
"79","3/36-38 Manchester Street Merrylands 2160",3,1,1,480000,2019-03-15,-33.8315534609517,150.989177576727,0.615904140585463,"(0.5,0.75]"
"80","1/9-11 Kimberley Street Merrylands 2160",2,2,1,585000,2019-02-08,-33.8478275965191,151.000340008643,1.46930428610162,"(1.25,1.5]"
"81","2/6 Charlotte Street Merrylands 2160",2,2,1,590000,2019-01-30,-33.8440204522777,150.979013010384,1.52211993638375,"(1.5,1.75]"
"82","3/17 Lansdowne Street Merrylands 2160",2,1,2,5e+05,2019-01-21,-33.8456667418804,150.995896594131,1.08633837717489,"(1,1.25]"
"83","10/10-12 Wright Street Merrylands 2160",3,2,1,7e+05,2018-11-26,-33.8277686963918,150.975646418974,1.8329248704492,"(1.75,2]"
"84","45 Richardson Street Merrylands 2160",3,3,1,645000,2018-10-23,-33.8263771328267,150.980964820357,1.54199668570278,"(1.5,1.75]"
"85","6/21-23 Yeend Street Merrylands 2160",3,1,1,6e+05,2018-07-04,-33.8258688123086,150.987256025424,1.26197078028883,"(1.25,1.5]"
"86","7/35-37 Clarence Street Merrylands 2160",2,1,1,533333,2018-06-15,-33.8310719625238,150.983258360523,1.04156817999732,"(1,1.25]"
"87","1/92 Burnett Street Merrylands 2160",3,2,NA,750000,2018-06-01,-33.8271703123241,150.981102702665,1.47078219769158,"(1.25,1.5]"
"88","92 Burnett Street Merrylands 2160",2,2,2,650000,2018-06-01,-33.8271703123241,150.981102702665,1.47078219769158,"(1.25,1.5]"
"89","7/16 Rickard Street Merrylands 2160",2,1,1,645000,2018-05-26,-33.8275629625784,150.990405357904,0.993549196204967,"(0.75,1]"
"90","25/100 Kenyons Road Merrylands 2160",3,2,2,612500,2018-04-16,-33.8379360287627,150.969172488418,2.17385855219559,"(2,2.25]"
"91","49/100 Kenyons Road Merrylands 2160",3,2,2,650000,2018-03-10,-33.8376072067011,150.969893918824,2.10455032327311,"(2,2.25]"
"92","6/59-61 Lavinia Street Merrylands 2160",3,2,2,620000,2018-02-27,-33.8484638667891,151.003853953911,1.70769437954345,"(1.5,1.75]"
"93","8/23 Todd Street Merrylands 2160",3,1,2,580000,2018-02-19,-33.8341554551544,150.969738015425,2.12740880330739,"(2,2.25]"
"94","5/35 Lansdowne Street Merrylands 2160",3,2,2,7e+05,2017-11-21,-33.8455509458881,150.994327082762,1.04211792315145,"(1,1.25]"
"95","1/49 Edna Avenue Merrylands 2160",2,1,1,6e+05,2017-11-14,-33.8411161228275,150.971671049936,2.00804517468791,"(2,2.25]"
"96","13/58-60 St Ann Street Merrylands 2160",2,2,1,585000,2017-09-15,-33.8396576716749,150.983845931936,0.891565951492629,"(0.75,1]"
"97","7/21 St Ann Street Merrylands 2160",2,2,1,605000,2017-09-06,-33.8397168479113,150.987621308764,0.597156095735195,"(0.5,0.75]"
"98","3/10-12 Rickard Street Merrylands 2160",3,2,2,660000,2017-08-03,-33.8260695588896,150.990302428133,1.15849574563278,"(1,1.25]"
"99","4/1-3 Holdsworth Street Merrylands 2160",3,2,2,649995,2017-07-14,-33.8348889974108,150.97794515592,1.36415191949165,"(1.25,1.5]"
"100","5/117-119 John Street Merrylands 2160",3,2,2,660000,2017-06-03,-33.8380878250292,151.001559743193,0.852028482903808,"(0.75,1]"
"101","28/10-14 Arthur Street Merrylands 2160",2,1,2,605000,2017-06-02,-33.833786022772,150.969996345681,2.10874176833053,"(2,2.25]"
"102","3/58 Lansdowne Street Merrylands 2160",3,2,2,751000,2017-05-20,-33.8459405786572,150.991469189055,1.07826542648073,"(1,1.25]"
"103","5/158 Railway Terrace Merrylands 2160",3,2,2,680000,2017-03-15,-33.843564392926,150.991828353606,0.811809869752728,"(0.75,1]"
"104","3/11-13 Torrens Street Merrylands 2160",3,1,1,530000,2017-03-03,-33.8361963228491,150.969605413717,2.12623888461857,"(2,2.25]"
"105","7/11-11A Ellis Street Merrylands 2160",2,1,1,6e+05,2017-02-01,-33.8279302575756,150.977246691928,1.69814650832227,"(1.5,1.75]"
"106","9 - 11 Kimberley Street Merrylands 2160",3,3,2,655000,2016-12-23,-33.8478275965191,151.000340008643,1.46930428610162,"(1.25,1.5]"
"107","1/11-11A Ellis Street Merrylands 2160",3,2,1,623000,2016-12-17,-33.8279302575756,150.977246691928,1.69814650832227,"(1.5,1.75]"
"108","1/11-11A Ellis Street Merrylands 2160",3,2,1,623000,2016-12-17,-33.8279302575756,150.977246691928,1.69814650832227,"(1.5,1.75]"
"109","1/529 Merrylands Road Merrylands 2160",3,2,2,691010,2016-12-16,-33.8308339164736,150.967534999814,2.39626509328236,"(2.25,2.5]"
"110","15/58 Lansdowne Street Merrylands 2160",2,2,2,585500,2016-12-06,-33.8460994995414,150.991550074421,1.09518616429866,"(1,1.25]"
"111","3/9-11 Kimberley Street Merrylands 2160",2,2,1,560000,2016-10-26,-33.8478275965191,151.000340008643,1.46930428610162,"(1.25,1.5]"
"112","Unit 18/59-61 Neil Street Merrylands 2160",2,1,1,499000,2016-10-19,-33.8325814175571,150.988503001159,0.561136738245937,"(0.5,0.75]"
"113","1/7-9 Charlotte Street Merrylands 2160",3,2,2,690000,2016-09-15,-33.8434425619633,150.979013764755,1.48668995122366,"(1.25,1.5]"
"114","14/102-104 Lackey Street Merrylands 2160",2,1,1,515000,2016-08-12,-33.8465962111236,151.001459495631,1.40879649550667,"(1.25,1.5]"
"115","4/7-9 Charlotte Street Merrylands 2160",3,2,2,685100,2016-08-11,-33.8434425619633,150.979013764755,1.48668995122366,"(1.25,1.5]"
"116","2/7-9 Charlotte Street Merrylands 2160",3,2,1,662000,2016-07-18,-33.8434425619633,150.979013764755,1.48668995122366,"(1.25,1.5]"
"117","2/7-9 Ellis Street Merrylands 2160",3,2,2,628000,2016-06-08,-33.8281619333793,150.976974950627,1.70536911017845,"(1.5,1.75]"
"118","18 St Ann Street Merrylands 2160",3,3,1,890000,2016-05-12,-33.8404900365698,150.988144926256,0.622291179222696,"(0.5,0.75]"
"119","21/59 Neil Street Merrylands 2160",2,1,1,480000,2016-04-12,-33.8325814175571,150.988503001159,0.561136738245937,"(0.5,0.75]"
"120","3/35-37 Clarence Street Merrylands 2160",2,2,1,565000,2016-04-06,-33.8310719625238,150.983258360523,1.04156817999732,"(1,1.25]"
"121","7/100 Kenyons Road Merrylands 2160",4,3,2,675000,2016-03-24,-33.837262333295,150.969239292186,2.16270253612673,"(2,2.25]"
"122","23/59-61 Neil Street Merrylands 2160",2,1,1,475000,2016-03-18,-33.8325814175571,150.988503001159,0.561136738245937,"(0.5,0.75]"
"123","14/57 Newman Street Merrylands 2160",2,1,1,540000,2016-03-11,-33.8373834098863,150.985151580994,0.699197630147355,"(0.5,0.75]"
"124","7/6-8 Addlestone Road Merrylands 2160",3,1,1,550000,2016-02-05,-33.836850614211,150.98742341203,0.482562884065052,"(0.25,0.5]"
"125","1/9-11 Kimberely Street Merrylands 2160",2,2,1,510000,2016-01-16,-33.8478275965191,151.000340008643,1.46930428610162,"(1.25,1.5]"
"126","2/59 Lavinia Street Merrylands 2160",3,2,1,609000,2015-11-03,-33.8484638667891,151.003853953911,1.70769437954345,"(1.5,1.75]"
